    velocity mean 1.30      width mean 19.22
22: velocity var 58.92      width var 805.64
    velocity mean 7.16      width mean 20.43
23: velocity var 26.84      width var 582.57
    velocity mean 8.73      width mean 16.98
24: velocity var 27663.69      width var 4877.49
    velocity mean 262.38      width mean 102.82
25: velocity var 537.62      width var 672.08
    velocity mean 24.96      width mean 21.51
26: velocity var 44444.12      width var 1763.89
    velocity mean 795.92      width mean 31.28
27: velocity var 15962.20      width var 2957.27
    velocity mean 166.83      width mean 59.23
28: velocity var 17490.33      width var 2737.99
    velocity mean 51.53      width mean 32.59
29: velocity var 202.68      width var 345.55
    velocity mean 36.11      width mean 17.59
